,name,date_time,lat,lon,temp,temp_min,temp_max,humidity,wind_speed,clouds_percent
380,Xinyang,1578240876,32.13,114.07,279.14,279.14,279.14,98,3.12,100
381,Lamu,1578240876,35.77,102.37,265.72,265.72,265.72,48,1.66,98
382,Alta Floresta,1578240876,-9.87,-56.08,298.15,298.15,298.15,100,4.1,75
383,Dukat,1578240876,40.25,19.57,282.04,282.04,282.04,53,1.34,0
384,LaBelle,1578240876,26.76,-81.44,287.89,286.48,289.15,44,5.1,1
385,Hasaki,1578240876,35.73,140.83,271.73,270.15,274.15,69,1.5,20
386,Najran,1578240877,17.54,44.22,302.15,302.15,302.15,30,5.1,40
387,Oktyabrskoye,1578240877,56.73,85.44,270.45,269.82,271.15,92,4.0,75
388,Vardo,1578240877,39.62,-77.74,275.37,274.15,276.48,55,6.2,90
389,Kecel,1578240877,46.52,19.25,274.99,274.15,275.37,55,4.1,0
390,Sao Miguel do Araguaia,1578240841,-13.28,-50.16,298.34,298.34,298.34,89,2.99,86
391,Serrinha,1578240877,-11.66,-39.0,301.53,301.53,301.53,61,2.63,100
392,Rio de Janeiro,1578240877,-22.91,-43.21,300.49,299.26,302.15,78,7.2,40
393,Paka,1578240878,4.15,15.03,308.01,308.01,308.01,16,1.77,52
394,Katsuura,1578240878,33.93,134.5,275.07,273.71,277.15,69,3.6,40
395,Los Banos,1578240878,37.06,-120.85,278.87,277.04,280.37,100,3.1,90
396,Khorramabad,1578240836,33.48,48.35,278.15,278.15,278.15,52,2.1,40
397,Corpus Christi,1578240701,27.8,-97.4,288.17,285.15,290.37,82,2.6,1
398,Liwale,1578240878,-9.8,37.92,301.31,301.31,301.31,71,1.87,68
399,Xai-Xai,1578240878,-25.04,33.64,304.79,304.79,304.79,52,5.83,39
400,Nicoya,1578240879,10.15,-85.45,297.46,294.26,303.15,55,13.9,20
401,Itoman,1578240879,26.12,127.67,288.34,285.15,290.15,77,3.6,20
402,Rolla,1578240879,37.95,-91.77,280.4,278.71,282.59,38,4.1,1
403,Salvador,1578240879,-12.98,-38.48,302.15,302.15,302.15,79,7.2,75
404,Umm Kaddadah,1578240879,13.6,26.69,294.96,294.96,294.96,16,7.42,10
405,San Nicolas,1578240879,13.93,120.95,299.58,299.26,300.15,74,4.1,75
406,Tateyama,1578240880,36.66,137.31,274.66,273.71,275.37,77,0.89,58
407,Ormara,1578240880,25.21,64.64,296.33,296.33,296.33,70,3.84,100
408,Saint Anthony,1578240880,43.97,-111.68,263.34,261.15,265.15,85,1.5,90
409,Vila Velha,1578240880,-3.71,-38.6,302.61,301.48,303.15,62,6.2,40
410,Danilov,1578240880,58.19,40.17,273.15,273.15,273.15,95,5.0,90
411,Baoqing,1578240880,46.32,132.2,258.51,258.51,258.51,86,1.98,0
412,Valdivia,1578240881,-39.81,-73.25,289.15,289.15,289.15,63,4.6,90
413,Vila,1578240881,45.18,8.4,281.57,277.04,284.26,40,2.6,0
414,Mabai,1578240881,23.01,104.4,286.8,286.8,286.8,97,1.54,95
415,Jever,1578240881,53.57,7.9,279.66,279.15,280.37,87,4.6,75
416,Sao Felix do Xingu,1578240881,-6.64,-51.99,300.59,300.59,300.59,85,1.92,63
417,Moree,1578240881,-29.46,149.84,304.15,304.15,304.15,25,8.2,14
418,Uniontown,1578240598,39.9,-79.72,271.93,269.26,273.71,80,2.6,90
419,Alyangula,1578240882,-13.85,136.42,299.15,299.15,299.15,88,2.11,88
420,High Level,1578240882,58.52,-117.13,246.15,246.15,246.15,75,1.15,75
421,Karratha,1578240882,-20.74,116.85,302.44,302.44,302.44,75,4.75,100
422,Waipawa,1578240882,-39.94,176.59,285.93,285.93,285.93,79,7.15,2
423,Kyzyl-Suu,1578240882,42.34,78.0,266.12,266.12,266.12,50,2.82,14
424,Khandyga,1578240882,62.65,135.58,249.1,249.1,249.1,98,1.29,100
425,Denia,1578240883,38.84,0.11,287.01,284.82,288.71,79,0.89,0
426,Mitsamiouli,1578240883,-11.38,43.28,303.15,303.15,303.15,74,2.6,75
427,Napasar,1578240883,27.97,73.56,292.35,292.35,292.35,32,2.97,98
428,Marovoay,1578240883,-16.11,46.64,299.15,299.15,299.15,88,2.6,20
429,Novonikolayevskiy,1578240884,50.97,42.37,272.98,272.59,273.15,95,2.69,100
430,Adrar,1578240884,27.87,-0.29,293.15,293.15,293.15,11,5.7,0
431,Praia,1578240884,-20.25,-43.81,300.12,299.15,301.15,61,2.6,75
432,Nauta,1578240884,-4.51,-73.58,304.03,304.03,304.03,52,2.21,100
433,Jumla,1578240884,29.28,82.18,267.6,267.6,267.6,44,2.29,0
434,Mangrol,1578240884,25.33,76.51,288.6,288.6,288.6,47,1.69,0
435,Kisanga,1578240885,-11.72,27.4,296.21,296.21,296.21,90,1.73,100
436,Lompoc,1578240885,34.64,-120.46,282.28,278.15,286.48,87,6.53,1
437,Rome,1578240848,41.89,12.48,284.72,280.93,288.15,30,3.6,0
438,Suntar,1578240885,62.16,117.65,261.18,261.18,261.18,95,2.39,100
439,Izyaslav,1578240885,50.12,26.82,272.45,272.45,272.45,95,7.51,100
440,Xinpu,1578240885,27.63,119.93,285.41,285.41,285.41,98,0.87,100
441,Haag,1578240886,48.11,14.56,272.8,268.15,275.93,74,3.1,75
442,Hoquiam,1578240886,46.98,-123.89,279.96,278.15,281.48,93,7.7,90
443,Vostok,1578240886,46.45,135.83,252.12,252.12,252.12,98,1.9,100
444,Kaspiysk,1578240886,42.88,47.64,278.15,278.15,278.15,86,1.0,90
445,Corinto,1578240886,3.17,-76.26,300.15,300.15,300.15,61,1.5,40
446,Plasencia,1578240886,40.03,-6.09,285.67,283.71,287.04,60,0.45,0
447,Marsh Harbour,1578240886,26.54,-77.06,293.06,293.06,293.06,66,11.27,39
448,Grand Gaube,1578240887,-20.01,57.66,297.09,297.04,297.15,94,4.6,75
449,Parrsboro,1578240887,45.41,-64.33,273.02,272.59,273.71,92,7.7,90
450,Monroe,1578240731,41.91,-83.4,272.8,272.04,273.71,66,4.1,90
451,Aksu,1578240887,52.04,76.93,264.15,264.15,264.15,92,3.0,35
452,Mount Isa,1578240887,-20.73,139.49,303.15,303.15,303.15,55,5.1,90
453,Whitehorse,1578240887,60.72,-135.06,242.9,242.59,243.15,74,1.0,5
454,Kloulklubed,1578240888,7.04,134.26,300.15,300.15,300.15,88,3.6,75
455,Komsomolskiy,1578240888,67.55,63.78,264.52,264.52,264.52,91,8.5,100
456,Pandan,1578240888,11.72,122.09,299.3,299.3,299.3,81,11.03,100
457,Beidao,1578240888,34.57,105.89,273.18,273.18,273.18,81,1.07,93
458,Cesis,1578240888,57.31,25.27,270.37,269.82,270.93,85,1.89,12
459,Labe,1578240888,7.7,8.47,308.96,308.96,308.96,14,1.9,34
460,Port Lincoln,1578240888,-34.72,135.86,288.64,288.64,288.64,80,6.29,71
461,Jinchang,1578240889,38.52,102.19,266.1,266.1,266.1,51,0.25,100
