,name,date_time,lat,lon,temp,temp_min,temp_max,humidity,wind_speed,clouds_pecent
506,Nieuw Nickerie,1577916671,5.94,-56.99,299.02,299.02,299.02,78,5.14,8
507,Clyde River,1577916671,70.47,-68.59,250.15,250.15,250.15,69,4.6,20
508,North Bend,1577916671,43.41,-124.22,284.31,283.71,285.93,93,4.6,90
509,Marathon,1577916671,48.72,-86.38,270.15,270.15,270.15,86,5.7,75
510,Gremyachinsk,1577916671,58.57,57.83,263.15,263.15,263.15,84,0.45,100
511,Hornepayne,1577916672,49.22,-84.78,268.17,268.17,268.17,88,2.66,86
512,Makakilo City,1577916672,21.35,-158.09,298.93,297.15,300.15,54,3.6,1
513,Horta,1577916672,-10.93,-37.66,301.15,301.15,301.15,78,6.2,75
514,Tiznit,1577916672,29.7,-9.73,284.96,284.96,284.96,48,1.44,0
515,Lewistown,1577916672,40.39,-90.15,281.69,279.82,283.71,51,6.2,1
516,Marzuq,1577916672,14.4,46.47,290.74,290.74,290.74,87,1.68,4
517,Ulaangom,1577916672,49.98,92.07,245.93,245.93,245.93,95,0.79,29
518,Otradnoye,1577916673,59.77,30.8,276.0,275.93,276.15,93,6.0,90
519,Kangaatsiaq,1577916673,68.31,-53.46,261.05,261.05,261.05,69,3.01,100
520,Lucea,1577916673,18.44,-78.17,301.02,300.93,301.15,78,7.7,20
521,Dubti,1577916673,11.74,41.09,299.65,299.65,299.65,56,3.27,18
522,Wanning,1577916673,48.64,13.53,270.98,268.15,274.26,92,0.5,0
523,Moron,1577916674,18.56,-74.26,299.9,299.9,299.9,79,2.97,10
524,Andapa,1577916674,-14.66,49.65,292.52,292.52,292.52,96,1.24,100
525,Inyonga,1577916674,-6.72,32.06,292.52,292.52,292.52,85,1.44,100
526,Bar-le-Duc,1577916674,48.77,5.16,273.51,271.15,275.15,100,2.1,90
527,Arlit,1577916674,18.74,7.39,283.65,283.65,283.65,22,4.47,0
528,Russell,1577916674,38.9,-98.86,282.2,280.15,284.15,45,6.2,1
529,Anjiang,1577916675,27.32,110.14,279.27,279.27,279.27,82,1.61,100
530,Wamba,1577916675,2.14,27.99,297.71,297.71,297.71,51,1.05,99
531,Pareora,1577916675,-44.49,171.21,286.11,286.11,286.11,91,3.02,100
532,Pundaguitan,1577916675,6.37,126.17,299.26,299.26,299.26,84,4.64,57
533,Mnogovershinnyy,1577916676,53.94,139.92,251.59,251.59,251.59,94,5.18,93
534,Oranjestad,1577916603,12.52,-70.03,302.15,302.15,302.15,62,9.3,20
535,Misratah,1577916676,32.38,15.09,288.13,288.13,288.13,62,8.22,32
536,Havelock,1577916605,34.88,-76.9,284.75,283.15,286.15,55,4.6,1
537,Vila,1577916676,45.18,8.4,274.68,272.04,277.04,92,2.1,44
538,Port-Gentil,1577916676,-0.72,8.78,300.15,300.15,300.15,88,1.5,20
539,Mayor Pablo Lagerenza,1577916677,-19.93,-60.77,306.76,306.76,306.76,40,3.64,86
540,Palmer,1577916598,-34.85,139.16,292.36,290.37,294.26,59,1.05,0
541,Sept-Iles,1577916504,50.2,-66.38,269.93,269.82,270.15,86,4.6,90
542,Boralday,1577916677,43.36,76.86,271.15,271.15,271.15,92,2.0,90
543,Kahului,1577916677,20.89,-156.47,297.49,294.82,300.15,54,5.7,40
544,La Macarena,1577916677,2.18,-73.79,303.75,303.75,303.75,46,3.29,83
545,Berdigestyakh,1577916678,62.1,126.7,238.17,238.17,238.17,97,2.11,94
546,Fier,1577916678,40.73,19.56,279.21,279.21,279.21,48,3.2,51
547,Khromtau,1577916678,50.26,58.44,271.96,271.96,271.96,94,7.98,100
